id,name,company,region,open_source,series,series_index,release_year,aliases,needs_review,notes,名称,属性,关系,变化
o1-mini,o1-mini,OpenAI,美国,False,o 推理,1,2024,o1-mini,False,,这个模型的全称是 o1-mini，属于 o 推理 系列,它由 OpenAI 开发，是闭源模型，推理轻量,它在 o 推理 系列中，前一代是 o1,它于 2024 年发布
o1-pro,o1-pro,OpenAI,美国,False,o 推理,2,2025,o1-pro,False,,这个模型的全称是 o1-pro，属于 o 推理 系列,它由 OpenAI 开发，是闭源模型，推理旗舰,它在 o 推理 系列中，前一代是 o1-mini,它于 2025 年发布
o3,o3,OpenAI,美国,False,o 推理,3,2025,o3,False,,这个模型的全称是 o3，属于 o 推理 系列,它由 OpenAI 开发，是闭源模型，推理,它在 o 推理 系列中，前一代是 o1-pro,它于 2025 年发布
o3-mini,o3-mini,OpenAI,美国,False,o 推理,4,2025,o3-mini,False,,这个模型的全称是 o3-mini，属于 o 推理 系列,它由 OpenAI 开发，是闭源模型，推理轻量,它在 o 推理 系列中，前一代是 o3,它于 2025 年发布
o4-mini,o4-mini,OpenAI,美国,False,o 推理,5,2025,o4-mini,False,,这个模型的全称是 o4-mini，属于 o 推理 系列,它由 OpenAI 开发，是闭源模型，推理轻量,它在 o 推理 系列中，前一代是 o3-mini,它于 2025 年发布
claude-1,Claude 1,Anthropic,美国,False,Claude,0,2023,Claude 1|Claude1,False,,这个模型的全称是 Claude 1，属于 Claude 系列，也常写作 Claude1,它由 Anthropic 开发，是闭源模型,它在 Claude 系列中，是该系列早期版本,它于 2023 年发布
claude-2,Claude 2,Anthropic,美国,False,Claude,1,2023,Claude 2|Claude2,False,,这个模型的全称是 Claude 2，属于 Claude 系列，也常写作 Claude2,它由 Anthropic 开发，是闭源模型,它在 Claude 系列中，前一代是 Claude 1,它于 2023 年发布
claude-2-1,Claude 2.1,Anthropic,美国,False,Claude,2,2023,Claude 2.1|Claude2.1,False,,这个模型的全称是 Claude 2.1，属于 Claude 系列，也常写作 Claude2.1,它由 Anthropic 开发，是闭源模型,它在 Claude 系列中，前一代是 Claude 2,它于 2023 年发布
claude-3-opus,Claude 3 Opus,Anthropic,美国,False,Claude,3,2024,Claude 3 Opus|Claude3Opus,False,,这个模型的全称是 Claude 3 Opus，属于 Claude 系列，也常写作 Claude3Opus,它由 Anthropic 开发，是闭源模型，旗舰,它在 Claude 系列中，前一代是 Claude 2.1,它于 2024 年发布
claude-3-sonnet,Claude 3 Sonnet,Anthropic,美国,False,Claude,4,2024,Claude 3 Sonnet|Claude3Sonnet,False,,这个模型的全称是 Claude 3 Sonnet，属于 Claude 系列，也常写作 Claude3Sonnet,它由 Anthropic 开发，是闭源模型，均衡,它在 Claude 系列中，前一代是 Claude 3 Opus,它于 2024 年发布
claude-3-haiku,Claude 3 Haiku,Anthropic,美国,False,Claude,5,2024,Claude 3 Haiku|Claude3Haiku,False,,这个模型的全称是 Claude 3 Haiku，属于 Claude 系列，也常写作 Claude3Haiku,它由 Anthropic 开发，是闭源模型，轻量,它在 Claude 系列中，前一代是 Claude 3 Sonnet,它于 2024 年发布
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,美国,False,Claude,6,2024,Claude 3.5 Sonnet|Claude3.5Sonnet,False,,这个模型的全称是 Claude 3.5 Sonnet，属于 Claude 系列，也常写作 Claude3.5Sonnet,它由 Anthropic 开发，是闭源模型，均衡,它在 Claude 系列中，前一代是 Claude 3 Haiku,它于 2024 年发布
claude-3-5-haiku,Claude 3.5 Haiku,Anthropic,美国,False,Claude,7,2024,Claude 3.5 Haiku|Claude3.5Haiku,False,,这个模型的全称是 Claude 3.5 Haiku，属于 Claude 系列，也常写作 Claude3.5Haiku,它由 Anthropic 开发，是闭源模型，轻量,它在 Claude 系列中，前一代是 Claude 3.5 Sonnet,它于 2024 年发布
claude-opus-4,Claude Opus 4,Anthropic,美国,False,Claude,8,2025,Claude Opus 4|ClaudeOpus4,False,,这个模型的全称是 Claude Opus 4，属于 Claude 系列，也常写作 ClaudeOpus4,它由 Anthropic 开发，是闭源模型，旗舰,它在 Claude 系列中，前一代是 Claude 3.5 Haiku,它于 2025 年发布
claude-sonnet-4,Claude Sonnet 4,Anthropic,美国,False,Claude,9,2025,Claude Sonnet 4|ClaudeSonnet4,False,,这个模型的全称是 Claude Sonnet 4，属于 Claude 系列，也常写作 ClaudeSonnet4,它由 Anthropic 开发，是闭源模型，均衡,它在 Claude 系列中，前一代是 Claude Opus 4,它于 2025 年发布
claude-haiku-4,Claude Haiku 4,Anthropic,美国,False,Claude,10,2025,Claude Haiku 4|ClaudeHaiku4,False,,这个模型的全称是 Claude Haiku 4，属于 Claude 系列，也常写作 ClaudeHaiku4,它由 Anthropic 开发，是闭源模型，轻量,它在 Claude 系列中，前一代是 Claude Sonnet 4,它于 2025 年发布
claude-sonnet-4-5,Claude Sonnet 4.5,Anthropic,美国,False,Claude,11,2025,Claude Sonnet 4.5|ClaudeSonnet4.5,False,,这个模型的全称是 Claude Sonnet 4.5，属于 Claude 系列，也常写作 ClaudeSonnet4.5,它由 Anthropic 开发，是闭源模型，均衡,它在 Claude 系列中，前一代是 Claude Haiku 4,它于 2025 年发布
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,美国,False,Claude,12,2025,Claude Haiku 4.5|ClaudeHaiku4.5,False,,这个模型的全称是 Claude Haiku 4.5，属于 Claude 系列，也常写作 ClaudeHaiku4.5,它由 Anthropic 开发，是闭源模型，轻量,它在 Claude 系列中，前一代是 Claude Sonnet 4.5,它于 2025 年发布
claude-opus-4-5,Claude Opus 4.5,Anthropic,美国,False,Claude,13,2025,Claude Opus 4.5|ClaudeOpus4.5,False,,这个模型的全称是 Claude Opus 4.5，属于 Claude 系列，也常写作 ClaudeOpus4.5,它由 Anthropic 开发，是闭源模型，旗舰,它在 Claude 系列中，前一代是 Claude Haiku 4.5,它于 2025 年发布
claude-opus-4-6,Claude Opus 4.6,Anthropic,美国,False,Claude,14,2026,Claude Opus 4.6|ClaudeOpus4.6,False,,这个模型的全称是 Claude Opus 4.6，属于 Claude 系列，也常写作 ClaudeOpus4.6,它由 Anthropic 开发，是闭源模型,它在 Claude 系列中，前一代是 Claude Opus 4.5,它于 2026 年发布
claude-sonnet-4-6,Claude Sonnet 4.6,Anthropic,美国,False,Claude,15,2026,Claude Sonnet 4.6|ClaudeSonnet4.6,False,,这个模型的全称是 Claude Sonnet 4.6，属于 Claude 系列，也常写作 ClaudeSonnet4.6,它由 Anthropic 开发，是闭源模型，均衡,它在 Claude 系列中，前一代是 Claude Opus 4.6,它于 2026 年发布
claude-opus-4-7,Claude Opus 4.7,Anthropic,美国,False,Claude,16,2026,Claude Opus 4.7|ClaudeOpus4.7,False,,这个模型的全称是 Claude Opus 4.7，属于 Claude 系列，也常写作 ClaudeOpus4.7,它由 Anthropic 开发，是闭源模型，旗舰,它在 Claude 系列中，前一代是 Claude Sonnet 4.6,它于 2026 年发布
claude-opus-4-8,Claude Opus 4.8,Anthropic,美国,False,Claude,17,2026,Claude Opus 4.8|ClaudeOpus4.8,False,,这个模型的全称是 Claude Opus 4.8，属于 Claude 系列，也常写作 ClaudeOpus4.8,它由 Anthropic 开发，是闭源模型，旗舰，1M上下文,它在 Claude 系列中，前一代是 Claude Opus 4.7,它于 2026 年发布
claude-sonnet-5,Claude Sonnet 5,Anthropic,美国,False,Claude,18,2026,Claude Sonnet 5|ClaudeSonnet5,False,,这个模型的全称是 Claude Sonnet 5，属于 Claude 系列，也常写作 ClaudeSonnet5,它由 Anthropic 开发，是闭源模型，均衡,它在 Claude 系列中，前一代是 Claude Opus 4.8,它于 2026 年发布
claude-opus-5,Claude Opus 5,Anthropic,美国,False,Claude,19,2026,Claude Opus 5|ClaudeOpus5,False,,这个模型的全称是 Claude Opus 5，属于 Claude 系列，也常写作 ClaudeOpus5,它由 Anthropic 开发，是闭源模型，旗舰,它在 Claude 系列中，前一代是 Claude Sonnet 5,它于 2026 年发布
gemini-1-0,Gemini 1.0,Google,美国,False,Gemini,0,2023,Gemini 1.0|Gemini1.0,False,,这个模型的全称是 Gemini 1.0，属于 Gemini 系列，也常写作 Gemini1.0,它由 Google 开发，是闭源模型,它在 Gemini 系列中，是该系列早期版本,它于 2023 年发布
gemini-1-5-pro,Gemini 1.5 Pro,Google,美国,False,Gemini,1,2024,Gemini 1.5 Pro|Gemini1.5Pro,False,,这个模型的全称是 Gemini 1.5 Pro，属于 Gemini 系列，也常写作 Gemini1.5Pro,它由 Google 开发，是闭源模型，旗舰,它在 Gemini 系列中，前一代是 Gemini 1.0,它于 2024 年发布
gemini-1-5-flash,Gemini 1.5 Flash,Google,美国,False,Gemini,2,2024,Gemini 1.5 Flash|Gemini1.5Flash,False,,这个模型的全称是 Gemini 1.5 Flash，属于 Gemini 系列，也常写作 Gemini1.5Flash,它由 Google 开发，是闭源模型，轻量,它在 Gemini 系列中，前一代是 Gemini 1.5 Pro,它于 2024 年发布
gemini-2-0-flash,Gemini 2.0 Flash,Google,美国,False,Gemini,3,2024,Gemini 2.0 Flash|Gemini2.0Flash,False,,这个模型的全称是 Gemini 2.0 Flash，属于 Gemini 系列，也常写作 Gemini2.0Flash,它由 Google 开发，是闭源模型，轻量,它在 Gemini 系列中，前一代是 Gemini 1.5 Flash,它于 2024 年发布
gemini-2-0-pro,Gemini 2.0 Pro,Google,美国,False,Gemini,4,2025,Gemini 2.0 Pro|Gemini2.0Pro,False,,这个模型的全称是 Gemini 2.0 Pro，属于 Gemini 系列，也常写作 Gemini2.0Pro,它由 Google 开发，是闭源模型，旗舰,它在 Gemini 系列中，前一代是 Gemini 2.0 Flash,它于 2025 年发布
gemini-2-5-pro,Gemini 2.5 Pro,Google,美国,False,Gemini,5,2025,Gemini 2.5 Pro|Gemini2.5Pro,False,,这个模型的全称是 Gemini 2.5 Pro，属于 Gemini 系列，也常写作 Gemini2.5Pro,它由 Google 开发，是闭源模型，旗舰,它在 Gemini 系列中，前一代是 Gemini 2.0 Pro,它于 2025 年发布
gemini-2-5-flash,Gemini 2.5 Flash,Google,美国,False,Gemini,6,2025,Gemini 2.5 Flash|Gemini2.5Flash,False,,这个模型的全称是 Gemini 2.5 Flash，属于 Gemini 系列，也常写作 Gemini2.5Flash,它由 Google 开发，是闭源模型，轻量,它在 Gemini 系列中，前一代是 Gemini 2.5 Pro,它于 2025 年发布
gemini-2-5-flash-lite,Gemini 2.5 Flash-Lite,Google,美国,False,Gemini,7,2025,Gemini 2.5 Flash-Lite|Gemini2.5Flash-Lite,False,,这个模型的全称是 Gemini 2.5 Flash-Lite，属于 Gemini 系列，也常写作 Gemini2.5Flash-Lite,它由 Google 开发，是闭源模型，轻量,它在 Gemini 系列中，前一代是 Gemini 2.5 Flash,它于 2025 年发布
gemini-3-pro,Gemini 3 Pro,Google,美国,False,Gemini,8,2025,Gemini 3 Pro|Gemini3Pro,False,,这个模型的全称是 Gemini 3 Pro，属于 Gemini 系列，也常写作 Gemini3Pro,它由 Google 开发，是闭源模型，旗舰,它在 Gemini 系列中，前一代是 Gemini 2.5 Flash-Lite,它于 2025 年发布
gemini-3-flash,Gemini 3 Flash,Google,美国,False,Gemini,9,2025,Gemini 3 Flash|Gemini3Flash,False,,这个模型的全称是 Gemini 3 Flash，属于 Gemini 系列，也常写作 Gemini3Flash,它由 Google 开发，是闭源模型，轻量,它在 Gemini 系列中，前一代是 Gemini 3 Pro,它于 2025 年发布
gemini-3-1-pro,Gemini 3.1 Pro,Google,美国,False,Gemini,10,2026,Gemini 3.1 Pro|Gemini3.1Pro,False,,这个模型的全称是 Gemini 3.1 Pro，属于 Gemini 系列，也常写作 Gemini3.1Pro,它由 Google 开发，是闭源模型，预览版核心升级,它在 Gemini 系列中，前一代是 Gemini 3 Flash,它于 2026 年发布
gemini-3-5-flash,Gemini 3.5 Flash,Google,美国,False,Gemini,11,2026,Gemini 3.5 Flash|Gemini3.5Flash,False,,这个模型的全称是 Gemini 3.5 Flash，属于 Gemini 系列，也常写作 Gemini3.5Flash,它由 Google 开发，是闭源模型，代理编码,它在 Gemini 系列中，前一代是 Gemini 3.1 Pro,它于 2026 年发布
gemini-3-5-flash-lite,Gemini 3.5 Flash-Lite,Google,美国,False,Gemini,12,2026,Gemini 3.5 Flash-Lite|Gemini3.5Flash-Lite,False,,这个模型的全称是 Gemini 3.5 Flash-Lite，属于 Gemini 系列，也常写作 Gemini3.5Flash-Lite,它由 Google 开发，是闭源模型，轻量,它在 Gemini 系列中，前一代是 Gemini 3.5 Flash,它于 2026 年发布
gemini-3-6-flash,Gemini 3.6 Flash,Google,美国,False,Gemini,13,2026,Gemini 3.6 Flash|Gemini3.6Flash,False,,这个模型的全称是 Gemini 3.6 Flash，属于 Gemini 系列，也常写作 Gemini3.6Flash,它由 Google 开发，是闭源模型，最新Flash,它在 Gemini 系列中，前一代是 Gemini 3.5 Flash-Lite,它于 2026 年发布
gemma,Gemma,Google,美国,True,Gemma,0,2024,Gemma,False,,这个模型的全称是 Gemma，属于 Gemma 系列,它由 Google 开发，是开源模型，开源轻量,它在 Gemma 系列中，是该系列早期版本,它于 2024 年发布
gemma-2,Gemma 2,Google,美国,True,Gemma,1,2024,Gemma 2|Gemma2,False,,这个模型的全称是 Gemma 2，属于 Gemma 系列，也常写作 Gemma2,它由 Google 开发，是开源模型，开源,它在 Gemma 系列中，前一代是 Gemma,它于 2024 年发布
gemma-3,Gemma 3,Google,美国,True,Gemma,2,2025,Gemma 3|Gemma3,False,,这个模型的全称是 Gemma 3，属于 Gemma 系列，也常写作 Gemma3,它由 Google 开发，是开源模型，开源多模态,它在 Gemma 系列中，前一代是 Gemma 2,它于 2025 年发布
palm-2,PaLM 2,Google,美国,False,PaLM,0,2023,PaLM 2|PaLM2,False,,这个模型的全称是 PaLM 2，属于 PaLM 系列，也常写作 PaLM2,它由 Google 开发，是闭源模型，多语言,它在 PaLM 系列中，是该系列早期版本,它于 2023 年发布
llama-1,Llama 1,Meta,美国,True,Llama,0,2023,Llama 1|Llama1,False,,这个模型的全称是 Llama 1，属于 Llama 系列，也常写作 Llama1,它由 Meta 开发，是开源模型,它在 Llama 系列中，是该系列早期版本,它于 2023 年发布
llama-2,Llama 2,Meta,美国,True,Llama,1,2023,Llama 2|Llama2,False,,这个模型的全称是 Llama 2，属于 Llama 系列，也常写作 Llama2,它由 Meta 开发，是开源模型,它在 Llama 系列中，前一代是 Llama 1,它于 2023 年发布
llama-3,Llama 3,Meta,美国,True,Llama,2,2024,Llama 3|Llama3,False,,这个模型的全称是 Llama 3，属于 Llama 系列，也常写作 Llama3,它由 Meta 开发，是开源模型,它在 Llama 系列中，前一代是 Llama 2,它于 2024 年发布
llama-3-1,Llama 3.1,Meta,美国,True,Llama,3,2024,Llama 3.1|Llama3.1,False,,这个模型的全称是 Llama 3.1，属于 Llama 系列，也常写作 Llama3.1,它由 Meta 开发，是开源模型,它在 Llama 系列中，前一代是 Llama 3,它于 2024 年发布
llama-3-2,Llama 3.2,Meta,美国,True,Llama,4,2024,Llama 3.2|Llama3.2,False,,这个模型的全称是 Llama 3.2，属于 Llama 系列，也常写作 Llama3.2,它由 Meta 开发，是开源模型，多模态,它在 Llama 系列中，前一代是 Llama 3.1,它于 2024 年发布
llama-3-3,Llama 3.3,Meta,美国,True,Llama,5,2024,Llama 3.3|Llama3.3,False,,这个模型的全称是 Llama 3.3，属于 Llama 系列，也常写作 Llama3.3,它由 Meta 开发，是开源模型,它在 Llama 系列中，前一代是 Llama 3.2,它于 2024 年发布
llama-4-scout,Llama 4 Scout,Meta,美国,True,Llama,6,2025,Llama 4 Scout|Llama4Scout,False,,这个模型的全称是 Llama 4 Scout，属于 Llama 系列，也常写作 Llama4Scout,它由 Meta 开发，是开源模型，开源多模态,它在 Llama 系列中，前一代是 Llama 3.3,它于 2025 年发布
llama-4-maverick,Llama 4 Maverick,Meta,美国,True,Llama,7,2025,Llama 4 Maverick|Llama4Maverick,False,,这个模型的全称是 Llama 4 Maverick，属于 Llama 系列，也常写作 Llama4Maverick,它由 Meta 开发，是开源模型，开源多模态旗舰,它在 Llama 系列中，前一代是 Llama 4 Scout,它于 2025 年发布
code-llama,Code Llama,Meta,美国,True,Code Llama,0,2023,Code Llama|CodeLlama,False,,这个模型的全称是 Code Llama，属于 Code Llama 系列，也常写作 CodeLlama,它由 Meta 开发，是开源模型，代码开源,它在 Code Llama 系列中，是该系列早期版本,它于 2023 年发布
grok-1,Grok 1,xAI,美国,False,Grok,0,2023,Grok 1|Grok1,False,,这个模型的全称是 Grok 1，属于 Grok 系列，也常写作 Grok1,它由 xAI 开发，是闭源模型,它在 Grok 系列中，是该系列早期版本,它于 2023 年发布
grok-1-5,Grok 1.5,xAI,美国,False,Grok,1,2024,Grok 1.5|Grok1.5,False,,这个模型的全称是 Grok 1.5，属于 Grok 系列，也常写作 Grok1.5,它由 xAI 开发，是闭源模型,它在 Grok 系列中，前一代是 Grok 1,它于 2024 年发布
grok-2,Grok 2,xAI,美国,False,Grok,2,2024,Grok 2|Grok2,False,,这个模型的全称是 Grok 2，属于 Grok 系列，也常写作 Grok2,它由 xAI 开发，是闭源模型,它在 Grok 系列中，前一代是 Grok 1.5,它于 2024 年发布
grok-3,Grok 3,xAI,美国,False,Grok,3,2025,Grok 3|Grok3,False,,这个模型的全称是 Grok 3，属于 Grok 系列，也常写作 Grok3,它由 xAI 开发，是闭源模型，旗舰,它在 Grok 系列中，前一代是 Grok 2,它于 2025 年发布
grok-4,Grok 4,xAI,美国,False,Grok,4,2025,Grok 4|Grok4,False,,这个模型的全称是 Grok 4，属于 Grok 系列，也常写作 Grok4,它由 xAI 开发，是闭源模型，旗舰,它在 Grok 系列中，前一代是 Grok 3,它于 2025 年发布
grok-4-5,Grok 4.5,xAI,美国,False,Grok,5,2026,Grok 4.5|Grok4.5,False,,这个模型的全称是 Grok 4.5，属于 Grok 系列，也常写作 Grok4.5,它由 xAI 开发，是闭源模型，当前消费级旗舰,它在 Grok 系列中，前一代是 Grok 4,它于 2026 年发布
mistral-7b,Mistral 7B,Mistral AI,法国,True,Mistral,0,2023,Mistral 7B|Mistral7B,False,,这个模型的全称是 Mistral 7B，属于 Mistral 系列，也常写作 Mistral7B,它由 Mistral AI 开发，是开源模型,它在 Mistral 系列中，是该系列早期版本,它于 2023 年发布
mixtral-8x7b,Mixtral 8x7B,Mistral AI,法国,True,Mistral,1,2023,Mixtral 8x7B|Mixtral8x7B,False,,这个模型的全称是 Mixtral 8x7B，属于 Mistral 系列，也常写作 Mixtral8x7B,它由 Mistral AI 开发，是开源模型，MoE,它在 Mistral 系列中，前一代是 Mistral 7B,它于 2023 年发布
mistral-small,Mistral Small,Mistral AI,法国,True,Mistral,2,2024,Mistral Small|MistralSmall,False,,这个模型的全称是 Mistral Small，属于 Mistral 系列，也常写作 MistralSmall,它由 Mistral AI 开发，是开源模型，轻量,它在 Mistral 系列中，前一代是 Mixtral 8x7B,它于 2024 年发布
mistral-medium,Mistral Medium,Mistral AI,法国,True,Mistral,3,2024,Mistral Medium|MistralMedium,False,,这个模型的全称是 Mistral Medium，属于 Mistral 系列，也常写作 MistralMedium,它由 Mistral AI 开发，是开源模型，均衡,它在 Mistral 系列中，前一代是 Mistral Small,它于 2024 年发布
mistral-large-2,Mistral Large 2,Mistral AI,法国,True,Mistral,4,2024,Mistral Large 2|MistralLarge2,False,,这个模型的全称是 Mistral Large 2，属于 Mistral 系列，也常写作 MistralLarge2,它由 Mistral AI 开发，是开源模型，旗舰,它在 Mistral 系列中，前一代是 Mistral Medium,它于 2024 年发布
codestral,Codestral,Mistral AI,法国,True,Mistral,5,2024,Codestral,False,,这个模型的全称是 Codestral，属于 Mistral 系列,它由 Mistral AI 开发，是开源模型，代码,它在 Mistral 系列中，前一代是 Mistral Large 2,它于 2024 年发布
mistral-nemo,Mistral Nemo,Mistral AI,法国,True,Mistral,6,2024,Mistral Nemo|MistralNemo,False,,这个模型的全称是 Mistral Nemo，属于 Mistral 系列，也常写作 MistralNemo,它由 Mistral AI 开发，是开源模型，轻量,它在 Mistral 系列中，前一代是 Codestral,它于 2024 年发布
ministral-8b,Ministral 8B,Mistral AI,法国,True,Mistral,7,2024,Ministral 8B|Ministral8B,False,,这个模型的全称是 Ministral 8B，属于 Mistral 系列，也常写作 Ministral8B,它由 Mistral AI 开发，是开源模型，端侧边缘,它在 Mistral 系列中，前一代是 Mistral Nemo,它于 2024 年发布
pixtral,Pixtral,Mistral AI,法国,True,Mistral,8,2024,Pixtral,False,,这个模型的全称是 Pixtral，属于 Mistral 系列,它由 Mistral AI 开发，是开源模型，多模态,它在 Mistral 系列中，前一代是 Ministral 8B,它于 2024 年发布
mistral-small-3,Mistral Small 3,Mistral AI,法国,True,Mistral,9,2025,Mistral Small 3|MistralSmall3,False,,这个模型的全称是 Mistral Small 3，属于 Mistral 系列，也常写作 MistralSmall3,它由 Mistral AI 开发，是开源模型，轻量,它在 Mistral 系列中，前一代是 Pixtral,它于 2025 年发布
magistral-small,Magistral Small,Mistral AI,法国,True,Mistral,10,2025,Magistral Small|MagistralSmall,False,,这个模型的全称是 Magistral Small，属于 Mistral 系列，也常写作 MagistralSmall,它由 Mistral AI 开发，是开源模型，推理,它在 Mistral 系列中，前一代是 Mistral Small 3,它于 2025 年发布
mistral-large-3,Mistral Large 3,Mistral AI,法国,True,Mistral,11,2025,Mistral Large 3|MistralLarge3,False,,这个模型的全称是 Mistral Large 3，属于 Mistral 系列，也常写作 MistralLarge3,它由 Mistral AI 开发，是开源模型，旗舰MoE,它在 Mistral 系列中，前一代是 Magistral Small,它于 2025 年发布
qwen-1,Qwen 1,阿里巴巴,中国,True,Qwen,0,2023,Qwen 1|Qwen1,False,,这个模型的全称是 Qwen 1，属于 Qwen 系列，也常写作 Qwen1,它由 阿里巴巴 开发，是开源模型,它在 Qwen 系列中，是该系列早期版本,它于 2023 年发布
qwen-1-5,Qwen 1.5,阿里巴巴,中国,True,Qwen,1,2024,Qwen 1.5|Qwen1.5,False,,这个模型的全称是 Qwen 1.5，属于 Qwen 系列，也常写作 Qwen1.5,它由 阿里巴巴 开发，是开源模型,它在 Qwen 系列中，前一代是 Qwen 1,它于 2024 年发布
qwen2,Qwen2,阿里巴巴,中国,True,Qwen,2,2024,Qwen2,False,,这个模型的全称是 Qwen2，属于 Qwen 系列,它由 阿里巴巴 开发，是开源模型,它在 Qwen 系列中，前一代是 Qwen 1.5,它于 2024 年发布
qwen-vl,Qwen-VL,阿里巴巴,中国,True,Qwen,3,2023,Qwen-VL,False,,这个模型的全称是 Qwen-VL，属于 Qwen 系列,它由 阿里巴巴 开发，是开源模型，多模态,它在 Qwen 系列中，前一代是 Qwen2,它于 2023 年发布
qwen2-5,Qwen2.5,阿里巴巴,中国,True,Qwen,4,2024,Qwen2.5,False,,这个模型的全称是 Qwen2.5，属于 Qwen 系列,它由 阿里巴巴 开发，是开源模型,它在 Qwen 系列中，前一代是 Qwen-VL,它于 2024 年发布
qwen2-5-coder,Qwen2.5-Coder,阿里巴巴,中国,True,Qwen,5,2024,Qwen2.5-Coder,False,,这个模型的全称是 Qwen2.5-Coder，属于 Qwen 系列,它由 阿里巴巴 开发，是开源模型，编程,它在 Qwen 系列中，前一代是 Qwen2.5,它于 2024 年发布
qwen2-5-max,Qwen2.5-Max,阿里巴巴,中国,True,Qwen,6,2025,Qwen2.5-Max,False,,这个模型的全称是 Qwen2.5-Max，属于 Qwen 系列,它由 阿里巴巴 开发，是开源模型，闭源旗舰,它在 Qwen 系列中，前一代是 Qwen2.5-Coder,它于 2025 年发布
qwq-32b,QwQ-32B,阿里巴巴,中国,True,Qwen,7,2025,QwQ-32B,False,,这个模型的全称是 QwQ-32B，属于 Qwen 系列,它由 阿里巴巴 开发，是开源模型，推理,它在 Qwen 系列中，前一代是 Qwen2.5-Max,它于 2025 年发布
